"artist","album","release_date","rating","date_rated"
"Agalloch","Marrow of the Spirit","2010","",""
"Agalloch","Faustian Echoes","2010","",""
"Agalloch","The Serpent & The Sphere","2014","",""
"Alcest","Écailles de lune","2010","4.40","18/04/2018"
"Alcest","Le secret","2011","",""
"Alcest","Les voyages de l'âme","2012","4.13","20/04/2018"
"Alcest","Shelter","2014","4.00","19/04/2018"
"Alcest","Kodama","2016","4.50","19/04/2018"
"Amoral","Beneath","2011","",""
"Amoral","Fallen Leaves & Dead Sparrows","2014","4.63","27/04/2018"
"Amoral","In Sequence","2016","",""
"Amorphis","The Beginning of Times","2011","",""
"Amorphis","Circle","2013","",""
"Amorphis","Under the Red Cloud","2015","",""
"Amorphis","Queen of Times","2018","",""
"Anathema","We're Here Because We're Here","2010","",""
"Anathema","Weather Systems","2012","",""
"Anathema","Distant Satellites","2014","",""
"Anathema","The Optimist","2017","",""
"Barren Eart","Curse of the Red River","2010","",""
"Barren Eart","The Devil's Resolve","2012","",""
"Barren Eart","On Lonely Towers","2015","",""
"Barren Eart","A Complex of Cages","2018","",""
"Battle Beast","Steel","2011","",""
"Battle Beast","Battle Beast","2013","",""
"Battle Beast","Unholy Savior","2015","",""
"Battle Beast","Bringer of Pain","2017","",""
"Children of Bodom","Relentless Reckless Forever","2011","4.22","04/05/2018"
"Children of Bodom","Halo of Blood","2013","",""
"Children of Bodom","I Worship Chaos","2015","",""
"Chisu","Kun valaistun","2011","4.11","04/05/2018"
"Chisu","Polaris","2015","",""
"Fear Factory","Mechanize","2010","3.70","24/04/2018"
"Fear Factory","The Industrialist","2012","",""
"Fear Factory","Genexus","2015","",""
"Ghost","Opus Eponymous","2010","",""
"Ghost","Infestissumam","2013","",""
"Ghost","Meliora","2015","",""
"Ghost","Popestar","2016","",""
"Ihsahn","After","2010","4.13","16/04/2018"
"Ihsahn","Eremita","2012","",""
"Ihsahn","Das Seelenbrechen","2013","",""
"Ihsahn","Arktis.","2016","",""
"Ihsahn","Ámr","2018","",""
"Insomnium","One for Sorrow","2011","4.40","02/05/2018"
"Insomnium","Shadows of the Dying Sun","2014","4.20","26/04/2018"
"Insomnium","Winter's Gate","2016","5.00","01/05/2018"
"Mokoma","Sydänjuuret","2010","3.64","17/04/2018"
"Mokoma","Juurta jaksain","2010","",""
"Mokoma","180 astetta","2012","4.00","17/04/2018"
"Mokoma","Yksi","2013","",""
"Mokoma","Elävien kirjoihin","2015","4.09","18/04/2018"
"Mokoma","Hengen pitimet","2018","",""
"Omnium Gatherum","New World Shadows","2011","",""
"Omnium Gatherum","Beyond","2013","",""
"Omnium Gatherum","Grey Heavens","2016","",""
"Opeth","Heritage","2011","",""
"Opeth","Pale Communion","2014","",""
"Opeth","Sorceress","2016","",""
"Primordial","Redemption at the Puritan's Hand","2011","",""
"Primordial","Where Greater Men Have Fallen","2014","",""
"Primordial","Exile Amongst the Ruins","2018","",""
"Sólstafir","Svartir Sandar","2011","4.08","02/05/2018"
"Sólstafir","Ótta","2014","",""
"Sólstafir","Berdreyminn","2017","",""
"Stam1na","Viimeinen Atlantis","2010","4.91","23/04/2018"
"Stam1na","Nocebo","2012","",""
"Stam1na","SLK","2014","",""
"Stam1na","Elokuutio","2016","4.40","24/04/2018"
"Wintersun","Time I","2012","4.60","25/04/2018"
"Wintersun","The Forest Seasons","2017","4.50","25/04/2018"
